Protocols,Mean,CI_low,CI_high
NF_NF,0.078249,0.064665,0.094685
NF_OF,0.162345,0.134582,0.195835
NF_OH,0.168,0.137746,0.2049
NF_OR,0.184539,0.157671,0.215986
NF_ZF,0.135593,0.119413,0.153966
NF_ZH,0.211169,0.184575,0.241595
NF_ZR,0.187131,0.163668,0.213958
OF_NF,0.162345,0.134582,0.195835
OF_OF,0.085978,0.065107,0.11354
OF_OH,0.122188,0.102255,0.146007
OF_OR,0.100772,0.086965,0.116771
OF_ZF,0.118368,0.102472,0.13673
OF_ZH,0.134389,0.120518,0.149857
OF_ZR,0.124563,0.104826,0.148016
OH_NF,0.168,0.137746,0.2049
OH_OF,0.122188,0.102255,0.146007
OH_OH,0.068742,0.056888,0.083065
OH_OR,0.108744,0.091409,0.129366
OH_ZF,0.11913,0.100377,0.141387
OH_ZH,0.122185,0.105628,0.141336
OH_ZR,0.123173,0.105181,0.144242
OR_NF,0.184539,0.157671,0.215986
OR_OF,0.100772,0.086965,0.116771
OR_OH,0.108744,0.091409,0.129366
OR_OR,0.088616,0.069544,0.112918
OR_ZF,0.132564,0.116838,0.150408
OR_ZH,0.128576,0.112859,0.146482
OR_ZR,0.126628,0.106217,0.150961
ZF_NF,0.135593,0.119413,0.153966
ZF_OF,0.118368,0.102472,0.13673
ZF_OH,0.11913,0.100377,0.141387
ZF_OR,0.132564,0.116838,0.150408
ZF_ZF,0.082856,0.061034,0.112482
ZF_ZH,0.130535,0.113234,0.150481
ZF_ZR,0.11365,0.09823,0.131489
ZH_NF,0.211169,0.184575,0.241595
ZH_OF,0.134389,0.120518,0.149857
ZH_OH,0.122185,0.105628,0.141336
ZH_OR,0.128576,0.112859,0.146482
ZH_ZF,0.130535,0.113234,0.150481
ZH_ZH,0.0642,0.049566,0.083154
ZH_ZR,0.093149,0.079875,0.108628
ZR_NF,0.187131,0.163668,0.213958
ZR_OF,0.124563,0.104826,0.148016
ZR_OH,0.123173,0.105181,0.144242
ZR_OR,0.126628,0.106217,0.150961
ZR_ZF,0.11365,0.09823,0.131489
ZR_ZH,0.093149,0.079875,0.108628
ZR_ZR,0.092246,0.074955,0.113525