Patient,Protocol_1,Protocol_2,Protocols,bcdist
D01,NF,NF,NF_NF,0.112081278
D01,NF,NF,NF_NF,0.324936144
D01,NF,OF,NF_OF,0.190858521
D01,NF,OF,NF_OF,0.245799067
D01,NF,OF,NF_OF,0.225335463
D01,NF,OR,NF_OR,0.385450427
D01,NF,OR,NF_OR,0.49550837
D01,NF,OR,NF_OR,0.486837641
D01,NF,ZF,NF_ZF,0.403700188
D01,NF,ZF,NF_ZF,0.522641233
D01,NF,ZF,NF_ZF,0.551524568
D01,NF,ZH,NF_ZH,0.49754959
D01,NF,ZH,NF_ZH,0.539152707
D01,NF,ZH,NF_ZH,0.487612887
D01,NF,ZR,NF_ZR,0.278081033
D01,NF,ZR,NF_ZR,0.515269052
D01,NF,ZR,NF_ZR,0.600598346
D01,NF,NF,NF_NF,0.112081278
D01,NF,NF,NF_NF,0.236894165
D01,NF,OF,NF_OF,0.262825422
D01,NF,OF,NF_OF,0.313147213
D01,NF,OF,NF_OF,0.290809839
D01,NF,OR,NF_OR,0.457671791
D01,NF,OR,NF_OR,0.568516041
D01,NF,OR,NF_OR,0.549481197
D01,NF,ZF,NF_ZF,0.475217226
D01,NF,ZF,NF_ZF,0.592018453
D01,NF,ZF,NF_ZF,0.621706254
D01,NF,ZH,NF_ZH,0.570634054
D01,NF,ZH,NF_ZH,0.600102911
D01,NF,ZH,NF_ZH,0.558062253
D01,NF,ZR,NF_ZR,0.347569038
D01,NF,ZR,NF_ZR,0.524241329
D01,NF,ZR,NF_ZR,0.663098452
D01,NF,NF,NF_NF,0.324936144
D01,NF,NF,NF_NF,0.236894165
D01,NF,OF,NF_OF,0.460781647
D01,NF,OF,NF_OF,0.521670142
D01,NF,OF,NF_OF,0.499800063
D01,NF,OR,NF_OR,0.602510314
D01,NF,OR,NF_OR,0.734404868
D01,NF,OR,NF_OR,0.699163195
D01,NF,ZF,NF_ZF,0.653069084
D01,NF,ZF,NF_ZF,0.735806051
D01,NF,ZF,NF_ZF,0.731733045
D01,NF,ZH,NF_ZH,0.734470641
D01,NF,ZH,NF_ZH,0.747874694
D01,NF,ZH,NF_ZH,0.743093602
D01,NF,ZR,NF_ZR,0.543446104
D01,NF,ZR,NF_ZR,0.728769789
D01,NF,ZR,NF_ZR,0.784434878
D01,OF,NF,OF_NF,0.190858521
D01,OF,NF,OF_NF,0.262825422
D01,OF,NF,OF_NF,0.460781647
D01,OF,OF,OF_OF,0.126212335
D01,OF,OF,OF_OF,0.086627964
D01,OF,OR,OF_OR,0.284580894
D01,OF,OR,OF_OR,0.407987176
D01,OF,OR,OF_OR,0.389297642
D01,OF,ZF,OF_ZF,0.295983753
D01,OF,ZF,OF_ZF,0.408350563
D01,OF,ZF,OF_ZF,0.440089118
D01,OF,ZH,OF_ZH,0.407841264
D01,OF,ZH,OF_ZH,0.434102379
D01,OF,ZH,OF_ZH,0.375623846
D01,OF,ZR,OF_ZR,0.164466144
D01,OF,ZR,OF_ZR,0.43196692
D01,OF,ZR,OF_ZR,0.496124797
D01,OF,NF,OF_NF,0.245799067
D01,OF,NF,OF_NF,0.313147213
D01,OF,NF,OF_NF,0.521670142
D01,OF,OF,OF_OF,0.126212335
D01,OF,OF,OF_OF,0.094174162
D01,OF,OR,OF_OR,0.264978872
D01,OF,OR,OF_OR,0.35622828
D01,OF,OR,OF_OR,0.434287218
D01,OF,ZF,OF_ZF,0.209852278
D01,OF,ZF,OF_ZF,0.336000006
D01,OF,ZF,OF_ZF,0.357947157
D01,OF,ZH,OF_ZH,0.319118395
D01,OF,ZH,OF_ZH,0.38923178
D01,OF,ZH,OF_ZH,0.293249672
D01,OF,ZR,OF_ZR,0.173601405
D01,OF,ZR,OF_ZR,0.474197033
D01,OF,ZR,OF_ZR,0.406701551
D01,OF,NF,OF_NF,0.225335463
D01,OF,NF,OF_NF,0.290809839
D01,OF,NF,OF_NF,0.499800063
D01,OF,OF,OF_OF,0.086627964
D01,OF,OF,OF_OF,0.094174162
D01,OF,OR,OF_OR,0.279312576
D01,OF,OR,OF_OR,0.40214716
D01,OF,OR,OF_OR,0.416135494
D01,OF,ZF,OF_ZF,0.235780541
D01,OF,ZF,OF_ZF,0.37139658
D01,OF,ZF,OF_ZF,0.395755353
D01,OF,ZH,OF_ZH,0.343846341
D01,OF,ZH,OF_ZH,0.372368085
D01,OF,ZH,OF_ZH,0.3165895
D01,OF,ZR,OF_ZR,0.140304449
D01,OF,ZR,OF_ZR,0.434481084
D01,OF,ZR,OF_ZR,0.447697848
D01,OR,NF,OR_NF,0.385450427
D01,OR,NF,OR_NF,0.457671791
D01,OR,NF,OR_NF,0.602510314
D01,OR,OF,OR_OF,0.284580894
D01,OR,OF,OR_OF,0.264978872
D01,OR,OF,OR_OF,0.279312576
D01,OR,OR,OR_OR,0.289772554
D01,OR,OR,OR_OR,0.33550393
D01,OR,ZF,OR_ZF,0.356648543
D01,OR,ZF,OR_ZF,0.463447847
D01,OR,ZF,OR_ZF,0.476649015
D01,OR,ZH,OR_ZH,0.465509206
D01,OR,ZH,OR_ZH,0.505632056
D01,OR,ZH,OR_ZH,0.423721037
D01,OR,ZR,OR_ZR,0.357450981
D01,OR,ZR,OR_ZR,0.45920823
D01,OR,ZR,OR_ZR,0.527107533
D01,OR,NF,OR_NF,0.49550837
D01,OR,NF,OR_NF,0.568516041
D01,OR,NF,OR_NF,0.734404868
D01,OR,OF,OR_OF,0.407987176
D01,OR,OF,OR_OF,0.35622828
D01,OR,OF,OR_OF,0.40214716
D01,OR,OR,OR_OR,0.289772554
D01,OR,OR,OR_OR,0.350004414
D01,OR,ZF,OR_ZF,0.371082606
D01,OR,ZF,OR_ZF,0.324609346
D01,OR,ZF,OR_ZF,0.344194731
D01,OR,ZH,OR_ZH,0.450031153
D01,OR,ZH,OR_ZH,0.508985507
D01,OR,ZH,OR_ZH,0.27250673
D01,OR,ZR,OR_ZR,0.47894922
D01,OR,ZR,OR_ZR,0.495649992
D01,OR,ZR,OR_ZR,0.368025884
D01,OR,NF,OR_NF,0.486837641
D01,OR,NF,OR_NF,0.549481197
D01,OR,NF,OR_NF,0.699163195
D01,OR,OF,OR_OF,0.389297642
D01,OR,OF,OR_OF,0.434287218
D01,OR,OF,OR_OF,0.416135494
D01,OR,OR,OR_OR,0.33550393
D01,OR,OR,OR_OR,0.350004414
D01,OR,ZF,OR_ZF,0.492253648
D01,OR,ZF,OR_ZF,0.539270321
D01,OR,ZF,OR_ZF,0.553458563
D01,OR,ZH,OR_ZH,0.544436457
D01,OR,ZH,OR_ZH,0.556893585
D01,OR,ZH,OR_ZH,0.501886914
D01,OR,ZR,OR_ZR,0.442890017
D01,OR,ZR,OR_ZR,0.376019624
D01,OR,ZR,OR_ZR,0.60364186
D01,ZF,NF,ZF_NF,0.403700188
D01,ZF,NF,ZF_NF,0.475217226
D01,ZF,NF,ZF_NF,0.653069084
D01,ZF,OF,ZF_OF,0.295983753
D01,ZF,OF,ZF_OF,0.209852278
D01,ZF,OF,ZF_OF,0.235780541
D01,ZF,OR,ZF_OR,0.356648543
D01,ZF,OR,ZF_OR,0.371082606
D01,ZF,OR,ZF_OR,0.492253648
D01,ZF,ZF,ZF_ZF,0.219075899
D01,ZF,ZF,ZF_ZF,0.215660262
D01,ZF,ZH,ZF_ZH,0.25050918
D01,ZF,ZH,ZF_ZH,0.346853946
D01,ZF,ZH,ZF_ZH,0.15821818
D01,ZF,ZR,ZF_ZR,0.200126879
D01,ZF,ZR,ZF_ZR,0.433181776
D01,ZF,ZR,ZF_ZR,0.311738177
D01,ZF,NF,ZF_NF,0.522641233
D01,ZF,NF,ZF_NF,0.592018453
D01,ZF,NF,ZF_NF,0.735806051
D01,ZF,OF,ZF_OF,0.408350563
D01,ZF,OF,ZF_OF,0.336000006
D01,ZF,OF,ZF_OF,0.37139658
D01,ZF,OR,ZF_OR,0.463447847
D01,ZF,OR,ZF_OR,0.324609346
D01,ZF,OR,ZF_OR,0.539270321
D01,ZF,ZF,ZF_ZF,0.219075899
D01,ZF,ZF,ZF_ZF,0.055255562
D01,ZF,ZH,ZF_ZH,0.327068827
D01,ZF,ZH,ZF_ZH,0.416472723
D01,ZF,ZH,ZF_ZH,0.19437536
D01,ZF,ZR,ZF_ZR,0.383649167
D01,ZF,ZR,ZF_ZR,0.514582191
D01,ZF,ZR,ZF_ZR,0.120679622
D01,ZF,NF,ZF_NF,0.551524568
D01,ZF,NF,ZF_NF,0.621706254
D01,ZF,NF,ZF_NF,0.731733045
D01,ZF,OF,ZF_OF,0.440089118
D01,ZF,OF,ZF_OF,0.357947157
D01,ZF,OF,ZF_OF,0.395755353
D01,ZF,OR,ZF_OR,0.476649015
D01,ZF,OR,ZF_OR,0.344194731
D01,ZF,OR,ZF_OR,0.553458563
D01,ZF,ZF,ZF_ZF,0.215660262
D01,ZF,ZF,ZF_ZF,0.055255562
D01,ZF,ZH,ZF_ZH,0.320444423
D01,ZF,ZH,ZF_ZH,0.410315912
D01,ZF,ZH,ZF_ZH,0.186196347
D01,ZF,ZR,ZF_ZR,0.385478769
D01,ZF,ZR,ZF_ZR,0.544476144
D01,ZF,ZR,ZF_ZR,0.121974047
D01,ZH,NF,ZH_NF,0.49754959
D01,ZH,NF,ZH_NF,0.570634054
D01,ZH,NF,ZH_NF,0.734470641
D01,ZH,OF,ZH_OF,0.407841264
D01,ZH,OF,ZH_OF,0.319118395
D01,ZH,OF,ZH_OF,0.343846341
D01,ZH,OR,ZH_OR,0.465509206
D01,ZH,OR,ZH_OR,0.450031153
D01,ZH,OR,ZH_OR,0.544436457
D01,ZH,ZF,ZH_ZF,0.25050918
D01,ZH,ZF,ZH_ZF,0.327068827
D01,ZH,ZF,ZH_ZF,0.320444423
D01,ZH,ZH,ZH_ZH,0.181255333
D01,ZH,ZH,ZH_ZH,0.219059678
D01,ZH,ZR,ZH_ZR,0.328516884
D01,ZH,ZR,ZH_ZR,0.450510841
D01,ZH,ZR,ZH_ZR,0.379756305
D01,ZH,NF,ZH_NF,0.539152707
D01,ZH,NF,ZH_NF,0.600102911
D01,ZH,NF,ZH_NF,0.747874694
D01,ZH,OF,ZH_OF,0.434102379
D01,ZH,OF,ZH_OF,0.38923178
D01,ZH,OF,ZH_OF,0.372368085
D01,ZH,OR,ZH_OR,0.505632056
D01,ZH,OR,ZH_OR,0.508985507
D01,ZH,OR,ZH_OR,0.556893585
D01,ZH,ZF,ZH_ZF,0.346853946
D01,ZH,ZF,ZH_ZF,0.416472723
D01,ZH,ZF,ZH_ZF,0.410315912
D01,ZH,ZH,ZH_ZH,0.181255333
D01,ZH,ZH,ZH_ZH,0.297125562
D01,ZH,ZR,ZH_ZR,0.405230225
D01,ZH,ZR,ZH_ZR,0.559949577
D01,ZH,ZR,ZH_ZR,0.448689551
D01,ZH,NF,ZH_NF,0.487612887
D01,ZH,NF,ZH_NF,0.558062253
D01,ZH,NF,ZH_NF,0.743093602
D01,ZH,OF,ZH_OF,0.375623846
D01,ZH,OF,ZH_OF,0.293249672
D01,ZH,OF,ZH_OF,0.3165895
D01,ZH,OR,ZH_OR,0.423721037
D01,ZH,OR,ZH_OR,0.27250673
D01,ZH,OR,ZH_OR,0.501886914
D01,ZH,ZF,ZH_ZF,0.15821818
D01,ZH,ZF,ZH_ZF,0.19437536
D01,ZH,ZF,ZH_ZF,0.186196347
D01,ZH,ZH,ZH_ZH,0.219059678
D01,ZH,ZH,ZH_ZH,0.297125562
D01,ZH,ZR,ZH_ZR,0.304410162
D01,ZH,ZR,ZH_ZR,0.456570351
D01,ZH,ZR,ZH_ZR,0.248244369
D01,ZR,NF,ZR_NF,0.278081033
D01,ZR,NF,ZR_NF,0.347569038
D01,ZR,NF,ZR_NF,0.543446104
D01,ZR,OF,ZR_OF,0.164466144
D01,ZR,OF,ZR_OF,0.173601405
D01,ZR,OF,ZR_OF,0.140304449
D01,ZR,OR,ZR_OR,0.357450981
D01,ZR,OR,ZR_OR,0.47894922
D01,ZR,OR,ZR_OR,0.442890017
D01,ZR,ZF,ZR_ZF,0.200126879
D01,ZR,ZF,ZR_ZF,0.383649167
D01,ZR,ZF,ZR_ZF,0.385478769
D01,ZR,ZH,ZR_ZH,0.328516884
D01,ZR,ZH,ZR_ZH,0.405230225
D01,ZR,ZH,ZR_ZH,0.304410162
D01,ZR,ZR,ZR_ZR,0.358629315
D01,ZR,ZR,ZR_ZR,0.474008279
D01,ZR,NF,ZR_NF,0.515269052
D01,ZR,NF,ZR_NF,0.524241329
D01,ZR,NF,ZR_NF,0.728769789
D01,ZR,OF,ZR_OF,0.43196692
D01,ZR,OF,ZR_OF,0.474197033
D01,ZR,OF,ZR_OF,0.434481084
D01,ZR,OR,ZR_OR,0.45920823
D01,ZR,OR,ZR_OR,0.495649992
D01,ZR,OR,ZR_OR,0.376019624
D01,ZR,ZF,ZR_ZF,0.433181776
D01,ZR,ZF,ZR_ZF,0.514582191
D01,ZR,ZF,ZR_ZF,0.544476144
D01,ZR,ZH,ZR_ZH,0.450510841
D01,ZR,ZH,ZR_ZH,0.559949577
D01,ZR,ZH,ZR_ZH,0.456570351
D01,ZR,ZR,ZR_ZR,0.358629315
D01,ZR,ZR,ZR_ZR,0.620118133
D01,ZR,NF,ZR_NF,0.600598346
D01,ZR,NF,ZR_NF,0.663098452
D01,ZR,NF,ZR_NF,0.784434878
D01,ZR,OF,ZR_OF,0.496124797
D01,ZR,OF,ZR_OF,0.406701551
D01,ZR,OF,ZR_OF,0.447697848
D01,ZR,OR,ZR_OR,0.527107533
D01,ZR,OR,ZR_OR,0.368025884
D01,ZR,OR,ZR_OR,0.60364186
D01,ZR,ZF,ZR_ZF,0.311738177
D01,ZR,ZF,ZR_ZF,0.120679622
D01,ZR,ZF,ZR_ZF,0.121974047
D01,ZR,ZH,ZR_ZH,0.379756305
D01,ZR,ZH,ZR_ZH,0.448689551
D01,ZR,ZH,ZR_ZH,0.248244369
D01,ZR,ZR,ZR_ZR,0.474008279
D01,ZR,ZR,ZR_ZR,0.620118133
D02,NF,NF,NF_NF,0.100242094
D02,NF,NF,NF_NF,0.084446883
D02,NF,OF,NF_OF,0.161168137
D02,NF,OF,NF_OF,0.189738846
D02,NF,OF,NF_OF,0.296624339
D02,NF,OR,NF_OR,0.651678618
D02,NF,OR,NF_OR,0.735172674
D02,NF,ZF,NF_ZF,0.248173991
D02,NF,ZF,NF_ZF,0.181394211
D02,NF,ZF,NF_ZF,0.271619408
D02,NF,ZH,NF_ZH,0.604383365
D02,NF,ZH,NF_ZH,0.592345192
D02,NF,ZH,NF_ZH,0.568236998
D02,NF,ZR,NF_ZR,0.367359191
D02,NF,ZR,NF_ZR,0.371294397
D02,NF,ZR,NF_ZR,0.225036445
D02,NF,NF,NF_NF,0.100242094
D02,NF,NF,NF_NF,0.123181941
D02,NF,OF,NF_OF,0.191824898
D02,NF,OF,NF_OF,0.207696069
D02,NF,OF,NF_OF,0.318528162
D02,NF,OR,NF_OR,0.665013088
D02,NF,OR,NF_OR,0.746996302
D02,NF,ZF,NF_ZF,0.270385318
D02,NF,ZF,NF_ZF,0.17612348
D02,NF,ZF,NF_ZF,0.289305063
D02,NF,ZH,NF_ZH,0.649756248
D02,NF,ZH,NF_ZH,0.635382036
D02,NF,ZH,NF_ZH,0.61042824
D02,NF,ZR,NF_ZR,0.418410454
D02,NF,ZR,NF_ZR,0.423099325
D02,NF,ZR,NF_ZR,0.23228112
D02,NF,NF,NF_NF,0.084446883
D02,NF,NF,NF_NF,0.123181941
D02,NF,OF,NF_OF,0.193125847
D02,NF,OF,NF_OF,0.224417771
D02,NF,OF,NF_OF,0.350054532
D02,NF,OR,NF_OR,0.660831808
D02,NF,OR,NF_OR,0.744252796
D02,NF,ZF,NF_ZF,0.291220463
D02,NF,ZF,NF_ZF,0.225674507
D02,NF,ZF,NF_ZF,0.321665874
D02,NF,ZH,NF_ZH,0.623076859
D02,NF,ZH,NF_ZH,0.608223063
D02,NF,ZH,NF_ZH,0.586943979
D02,NF,ZR,NF_ZR,0.407408892
D02,NF,ZR,NF_ZR,0.417727105
D02,NF,ZR,NF_ZR,0.269790886
D02,OF,NF,OF_NF,0.161168137
D02,OF,NF,OF_NF,0.191824898
D02,OF,NF,OF_NF,0.193125847
D02,OF,OF,OF_OF,0.079749468
D02,OF,OF,OF_OF,0.208658814
D02,OF,OR,OF_OR,0.692700509
D02,OF,OR,OF_OR,0.776484072
D02,OF,ZF,OF_ZF,0.189996145
D02,OF,ZF,OF_ZF,0.172073032
D02,OF,ZF,OF_ZF,0.206100085
D02,OF,ZH,OF_ZH,0.523355064
D02,OF,ZH,OF_ZH,0.516461747
D02,OF,ZH,OF_ZH,0.484606218
D02,OF,ZR,OF_ZR,0.314854453
D02,OF,ZR,OF_ZR,0.316282537
D02,OF,ZR,OF_ZR,0.163307505
D02,OF,NF,OF_NF,0.189738846
D02,OF,NF,OF_NF,0.207696069
D02,OF,NF,OF_NF,0.224417771
D02,OF,OF,OF_OF,0.079749468
D02,OF,OF,OF_OF,0.167252025
D02,OF,OR,OF_OR,0.672549987
D02,OF,OR,OF_OR,0.756925787
D02,OF,ZF,OF_ZF,0.170806482
D02,OF,ZF,OF_ZF,0.173743102
D02,OF,ZF,OF_ZF,0.16477073
D02,OF,ZH,OF_ZH,0.51029356
D02,OF,ZH,OF_ZH,0.49843994
D02,OF,ZH,OF_ZH,0.470362337
D02,OF,ZR,OF_ZR,0.284220742
D02,OF,ZR,OF_ZR,0.283191803
D02,OF,ZR,OF_ZR,0.146720543
D02,OF,NF,OF_NF,0.296624339
D02,OF,NF,OF_NF,0.318528162
D02,OF,NF,OF_NF,0.350054532
D02,OF,OF,OF_OF,0.208658814
D02,OF,OF,OF_OF,0.167252025
D02,OF,OR,OF_OR,0.661479668
D02,OF,OR,OF_OR,0.745170606
D02,OF,ZF,OF_ZF,0.189420515
D02,OF,ZF,OF_ZF,0.274374675
D02,OF,ZF,OF_ZF,0.154770087
D02,OF,ZH,OF_ZH,0.435856649
D02,OF,ZH,OF_ZH,0.425083893
D02,OF,ZH,OF_ZH,0.39703831
D02,OF,ZR,OF_ZR,0.201198264
D02,OF,ZR,OF_ZR,0.202123481
D02,OF,ZR,OF_ZR,0.24662732
D02,OR,NF,OR_NF,0.651678618
D02,OR,NF,OR_NF,0.665013088
D02,OR,NF,OR_NF,0.660831808
D02,OR,OF,OR_OF,0.692700509
D02,OR,OF,OR_OF,0.672549987
D02,OR,OF,OR_OF,0.661479668
D02,OR,OR,OR_OR,0.145372459
D02,OR,ZF,OR_ZF,0.672726021
D02,OR,ZF,OR_ZF,0.680495703
D02,OR,ZF,OR_ZF,0.657531218
D02,OR,ZH,OR_ZH,0.740791972
D02,OR,ZH,OR_ZH,0.715752244
D02,OR,ZH,OR_ZH,0.712200292
D02,OR,ZR,OR_ZR,0.6546741
D02,OR,ZR,OR_ZR,0.641140861
D02,OR,ZR,OR_ZR,0.669016266
D02,OR,NF,OR_NF,0.735172674
D02,OR,NF,OR_NF,0.746996302
D02,OR,NF,OR_NF,0.744252796
D02,OR,OF,OR_OF,0.776484072
D02,OR,OF,OR_OF,0.756925787
D02,OR,OF,OR_OF,0.745170606
D02,OR,OR,OR_OR,0.145372459
D02,OR,ZF,OR_ZF,0.757409464
D02,OR,ZF,OR_ZF,0.765402442
D02,OR,ZF,OR_ZF,0.742337555
D02,OR,ZH,OR_ZH,0.802790781
D02,OR,ZH,OR_ZH,0.77531837
D02,OR,ZH,OR_ZH,0.796079487
D02,OR,ZR,OR_ZR,0.740243432
D02,OR,ZR,OR_ZR,0.725974829
D02,OR,ZR,OR_ZR,0.754037601
D02,ZF,NF,ZF_NF,0.248173991
D02,ZF,NF,ZF_NF,0.270385318
D02,ZF,NF,ZF_NF,0.291220463
D02,ZF,OF,ZF_OF,0.189996145
D02,ZF,OF,ZF_OF,0.170806482
D02,ZF,OF,ZF_OF,0.189420515
D02,ZF,OR,ZF_OR,0.672726021
D02,ZF,OR,ZF_OR,0.757409464
D02,ZF,ZF,ZF_ZF,0.181711186
D02,ZF,ZF,ZF_ZF,0.079370703
D02,ZF,ZH,ZF_ZH,0.427168293
D02,ZF,ZH,ZF_ZH,0.414339041
D02,ZF,ZH,ZF_ZH,0.390667233
D02,ZF,ZR,ZF_ZR,0.197295066
D02,ZF,ZR,ZF_ZR,0.216891208
D02,ZF,ZR,ZF_ZR,0.155113114
D02,ZF,NF,ZF_NF,0.181394211
D02,ZF,NF,ZF_NF,0.17612348
D02,ZF,NF,ZF_NF,0.225674507
D02,ZF,OF,ZF_OF,0.172073032
D02,ZF,OF,ZF_OF,0.173743102
D02,ZF,OF,ZF_OF,0.274374675
D02,ZF,OR,ZF_OR,0.680495703
D02,ZF,OR,ZF_OR,0.765402442
D02,ZF,ZF,ZF_ZF,0.181711186
D02,ZF,ZF,ZF_ZF,0.197860909
D02,ZF,ZH,ZF_ZH,0.595131189
D02,ZF,ZH,ZF_ZH,0.583128494
D02,ZF,ZH,ZF_ZH,0.554506842
D02,ZF,ZR,ZF_ZR,0.367134225
D02,ZF,ZR,ZF_ZR,0.370909835
D02,ZF,ZR,ZF_ZR,0.122138475
D02,ZF,NF,ZF_NF,0.271619408
D02,ZF,NF,ZF_NF,0.289305063
D02,ZF,NF,ZF_NF,0.321665874
D02,ZF,OF,ZF_OF,0.206100085
D02,ZF,OF,ZF_OF,0.16477073
D02,ZF,OF,ZF_OF,0.154770087
D02,ZF,OR,ZF_OR,0.657531218
D02,ZF,OR,ZF_OR,0.742337555
D02,ZF,ZF,ZF_ZF,0.079370703
D02,ZF,ZF,ZF_ZF,0.197860909
D02,ZF,ZH,ZF_ZH,0.425467419
D02,ZF,ZH,ZF_ZH,0.412958517
D02,ZF,ZH,ZF_ZH,0.388825202
D02,ZF,ZR,ZF_ZR,0.182345442
D02,ZF,ZR,ZF_ZR,0.176439022
D02,ZF,ZR,ZF_ZR,0.136050671
D02,ZH,NF,ZH_NF,0.604383365
D02,ZH,NF,ZH_NF,0.649756248
D02,ZH,NF,ZH_NF,0.623076859
D02,ZH,OF,ZH_OF,0.523355064
D02,ZH,OF,ZH_OF,0.51029356
D02,ZH,OF,ZH_OF,0.435856649
D02,ZH,OR,ZH_OR,0.740791972
D02,ZH,OR,ZH_OR,0.802790781
D02,ZH,ZF,ZH_ZF,0.427168293
D02,ZH,ZF,ZH_ZF,0.595131189
D02,ZH,ZF,ZH_ZF,0.425467419
D02,ZH,ZH,ZH_ZH,0.068018392
D02,ZH,ZH,ZH_ZH,0.051593063
D02,ZH,ZR,ZH_ZR,0.280603887
D02,ZH,ZR,ZH_ZR,0.311791106
D02,ZH,ZR,ZH_ZR,0.518963576
D02,ZH,NF,ZH_NF,0.592345192
D02,ZH,NF,ZH_NF,0.635382036
D02,ZH,NF,ZH_NF,0.608223063
D02,ZH,OF,ZH_OF,0.516461747
D02,ZH,OF,ZH_OF,0.49843994
D02,ZH,OF,ZH_OF,0.425083893
D02,ZH,OR,ZH_OR,0.715752244
D02,ZH,OR,ZH_OR,0.77531837
D02,ZH,ZF,ZH_ZF,0.414339041
D02,ZH,ZF,ZH_ZF,0.583128494
D02,ZH,ZF,ZH_ZF,0.412958517
D02,ZH,ZH,ZH_ZH,0.068018392
D02,ZH,ZH,ZH_ZH,0.06256577
D02,ZH,ZR,ZH_ZR,0.26878716
D02,ZH,ZR,ZH_ZR,0.294639552
D02,ZH,ZR,ZH_ZR,0.503867452
D02,ZH,NF,ZH_NF,0.568236998
D02,ZH,NF,ZH_NF,0.61042824
D02,ZH,NF,ZH_NF,0.586943979
D02,ZH,OF,ZH_OF,0.484606218
D02,ZH,OF,ZH_OF,0.470362337
D02,ZH,OF,ZH_OF,0.39703831
D02,ZH,OR,ZH_OR,0.712200292
D02,ZH,OR,ZH_OR,0.796079487
D02,ZH,ZF,ZH_ZF,0.390667233
D02,ZH,ZF,ZH_ZF,0.554506842
D02,ZH,ZF,ZH_ZF,0.388825202
D02,ZH,ZH,ZH_ZH,0.051593063
D02,ZH,ZH,ZH_ZH,0.06256577
D02,ZH,ZR,ZH_ZR,0.244258036
D02,ZH,ZR,ZH_ZR,0.278500253
D02,ZH,ZR,ZH_ZR,0.484906112
D02,ZR,NF,ZR_NF,0.367359191
D02,ZR,NF,ZR_NF,0.418410454
D02,ZR,NF,ZR_NF,0.407408892
D02,ZR,OF,ZR_OF,0.314854453
D02,ZR,OF,ZR_OF,0.284220742
D02,ZR,OF,ZR_OF,0.201198264
D02,ZR,OR,ZR_OR,0.6546741
D02,ZR,OR,ZR_OR,0.740243432
D02,ZR,ZF,ZR_ZF,0.197295066
D02,ZR,ZF,ZR_ZF,0.367134225
D02,ZR,ZF,ZR_ZF,0.182345442
D02,ZR,ZH,ZR_ZH,0.280603887
D02,ZR,ZH,ZR_ZH,0.26878716
D02,ZR,ZH,ZR_ZH,0.244258036
D02,ZR,ZR,ZR_ZR,0.086171803
D02,ZR,ZR,ZR_ZR,0.293665334
D02,ZR,NF,ZR_NF,0.371294397
D02,ZR,NF,ZR_NF,0.423099325
D02,ZR,NF,ZR_NF,0.417727105
D02,ZR,OF,ZR_OF,0.316282537
D02,ZR,OF,ZR_OF,0.283191803
